prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
breed,Alaskan Malamute,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,American Bulldog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,American English Coonhound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,American Eskimo Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,American Foxhound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,American Hairless Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,American Leopard Hound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,American Staffordshire Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,American Water Spaniel,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Anatolian Shepherd Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Appenzeller Sennenhunde,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Australian Cattle Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Australian Kelpie,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Australian Shepherd,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Australian Stumpy Tail Cattle Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Australian Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Azawakh,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Barbado da Terceira,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Barbet,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Basenji,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Basset Fauve de Bretagne,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Basset Hound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bavarian Mountain Scent Hound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Beagle,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bearded Collie,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Beauceron,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bedlington Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Belgian Laekenois,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Belgian Malinois,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Belgian Sheepdog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Belgian Tervuren,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bergamasco Sheepdog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Berger Picard,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bernese Mountain Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bichon Frise,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Biewer Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Black Russian Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Black and Tan Coonhound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bloodhound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bluetick Coonhound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Boerboel,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bohemian Shepherd,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bolognese,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Border Collie,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Border Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Borzoi,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Boston Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bouvier des Flandres,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Boxer,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Boykin Spaniel,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bracco Italiano,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Braque Francais Pyrenean,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Braque du Bourbonnais,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Briard,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Brittany,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Broholmer,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Brussels Griffon,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bull Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bulldog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Bullmastiff,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Cairn Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Canaan Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Cane Corso,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Cardigan Welsh Corgi,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Carolina Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Catahoula Hound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Catahoula Leopard Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Caucasian Shepherd Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Cavalier King Charles Spaniel,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Central Asian Shepherd Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Cesky Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Chesapeake Bay Retriever,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Chihuahua,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Chinese Crested,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Chinese Shar-Pei,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Chinook,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Chow Chow,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Cirneco dell'Etna,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Clumber Spaniel,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Cocker Spaniel,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Collie,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Coton de Tulear,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Croatian Sheepdog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Curly-Coated Retriever,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Czechoslovakian Vlcak,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Dachshund,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Dalmatian,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Dandie Dinmont Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Danish-Swedish Farmdog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Deutscher Wachtelhund,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Doberman Pinscher,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Dogo Argentino,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Dogue de Bordeaux,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Drentsche Patrijshond,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Drever,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Dutch Shepherd,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,English Cocker Spaniel,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,English Foxhound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,English Setter,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,English Springer Spaniel,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,English Toy Spaniel,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Entlebucher Mountain Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Estrela Mountain Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Eurasier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Field Spaniel,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Finnish Lapphund,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Finnish Spitz,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Flat-Coated Retriever,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,French Bulldog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,French Spaniel,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,German Longhaired Pointer,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,German Pinscher,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,German Shepherd Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,German Shorthaired Pointer,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,German Spitz,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,German Wirehaired Pointer,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Giant Schnauzer,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Glen of Imaal Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Golden Retriever,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Gordon Setter,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Grand Basset Griffon Vendeen,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Great Dane,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Great Pyrenees,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Greater Swiss Mountain Dog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Greyhound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Hamiltonstovare,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Hanoverian Scenthound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Harrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Havanese,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Hokkaido,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Hovawart,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Ibizan Hound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Icelandic Sheepdog,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Irish Red and White Setter,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Irish Setter,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Irish Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Irish Water Spaniel,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Irish Wolfhound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Italian Greyhound,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Jagdterrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Japanese Akitainu,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Japanese Chin,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Japanese Spitz,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Japanese Terrier,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
breed,Jindo,,"The specific breed of the canine patient/subject/donor, per the list of breeds officially recognized by the American Kennel Club.",,,
