prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
chromosome,Not Reported,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Unknown,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 1,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 10,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 11,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 12,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 13,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 14,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 15,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 16,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 17,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 18,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 19,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 2,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 20,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 21,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 22,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 23,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 3,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 4,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 5,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 6,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 7,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 8,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr 9,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr M,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr X,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Chr Y,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Not Reported,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
translocation_partner_chromosome,Unknown,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
alteration,11q Deletion,,The words by which the generally used name of the mutation is known.,,,
alteration,12q Gain,,The words by which the generally used name of the mutation is known.,,,
alteration,16q Loss,,The words by which the generally used name of the mutation is known.,,,
alteration,17q Gain,,The words by which the generally used name of the mutation is known.,,,
alteration,1p Deletion,,The words by which the generally used name of the mutation is known.,,,
alteration,1q Gain,,The words by which the generally used name of the mutation is known.,,,
alteration,45XO,,The words by which the generally used name of the mutation is known.,,,
alteration,45XO w/ Y chromosomal material,,The words by which the generally used name of the mutation is known.,,,
alteration,46XX,,The words by which the generally used name of the mutation is known.,,,
alteration,46XY,,The words by which the generally used name of the mutation is known.,,,
alteration,47XXX,,The words by which the generally used name of the mutation is known.,,,
alteration,47XXY,,The words by which the generally used name of the mutation is known.,,,
alteration,47XYY,,The words by which the generally used name of the mutation is known.,,,
alteration,48XXXX,,The words by which the generally used name of the mutation is known.,,,
alteration,48XXXY,,The words by which the generally used name of the mutation is known.,,,
alteration,8q Gain,,The words by which the generally used name of the mutation is known.,,,
alteration,AKT mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,ALK Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,ALK p.R1275L mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,ALK Rearrangement,,The words by which the generally used name of the mutation is known.,,,
alteration,ARID1A mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,ATM mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,BCOR mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,BCOR Rearranged,,The words by which the generally used name of the mutation is known.,,,
alteration,BCOR-MAML3,,The words by which the generally used name of the mutation is known.,,,
alteration,BCR-ABL1 Fusion,,The words by which the generally used name of the mutation is known.,,,
alteration,BRAF Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,BRAF V600E,,The words by which the generally used name of the mutation is known.,,,
alteration,BRCA2 Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,CCNB3-BCOR,,The words by which the generally used name of the mutation is known.,,,
alteration,CCND1 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,CCND2 Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,CDK4 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,CDKN2A,,The words by which the generally used name of the mutation is known.,,,
alteration,CDKN2A Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,CEBPA mutation - biallelic,,The words by which the generally used name of the mutation is known.,,,
alteration,CEBPA mutation - monoallelic,,The words by which the generally used name of the mutation is known.,,,
alteration,CEBPA mutation - mutation unspecified,,The words by which the generally used name of the mutation is known.,,,
alteration,Chromosome 11 Loss,,The words by which the generally used name of the mutation is known.,,,
alteration,Chromosome 14q Loss,,The words by which the generally used name of the mutation is known.,,,
alteration,CIC Rearranged,,The words by which the generally used name of the mutation is known.,,,
alteration,CIC-DUX4,,The words by which the generally used name of the mutation is known.,,,
alteration,CIC-DUX4L10,,The words by which the generally used name of the mutation is known.,,,
alteration,CKIT mutation - ex17,,The words by which the generally used name of the mutation is known.,,,
alteration,CKIT mutation - ex8,,The words by which the generally used name of the mutation is known.,,,
alteration,CKIT mutation - unspecified,,The words by which the generally used name of the mutation is known.,,,
alteration,Complex karyotype,,The words by which the generally used name of the mutation is known.,,,
alteration,CTNNB1 Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,del(13q) (13q 14 - 21),,The words by which the generally used name of the mutation is known.,,,
alteration,del(17p),,The words by which the generally used name of the mutation is known.,,,
alteration,del(5q)(5q31-q32),,The words by which the generally used name of the mutation is known.,,,
alteration,del(5q),,The words by which the generally used name of the mutation is known.,,,
alteration,del(7q),,The words by which the generally used name of the mutation is known.,,,
alteration,del(9q),,The words by which the generally used name of the mutation is known.,,,
alteration,der.12p,,The words by which the generally used name of the mutation is known.,,,
alteration,DICER1 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,E2A/PBX1 t(1;19),,The words by which the generally used name of the mutation is known.,,,
alteration,ETV6 rearranged,,The words by which the generally used name of the mutation is known.,,,
alteration,ETV6-RUNX1 t(12;21)(p13;q22)(formerly TEL-AML1),,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1 Rearranged,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-ATF1,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-CREB1,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-DDIT3,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-ERG,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-ETV1,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-ETV4,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-FEV,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-FLI1,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-KLF17,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-NR4A3,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-PBX1,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-POU5F1,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-WT1,,The words by which the generally used name of the mutation is known.,,,
alteration,EWSR1-ZNF444,,The words by which the generally used name of the mutation is known.,,,
alteration,FBXW7 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,FGFR4 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,FLT3 internal tandem duplication (ITD),,The words by which the generally used name of the mutation is known.,,,
alteration,FLT3-TKD,,The words by which the generally used name of the mutation is known.,,,
alteration,FOXO1 rearranged,,The words by which the generally used name of the mutation is known.,,,
alteration,FUS Rearranged,,The words by which the generally used name of the mutation is known.,,,
alteration,FUS Translocation Present,,The words by which the generally used name of the mutation is known.,,,
alteration,FUS-DDIT3,,The words by which the generally used name of the mutation is known.,,,
alteration,FUS-ERG,,The words by which the generally used name of the mutation is known.,,,
alteration,FUS-FEV,,The words by which the generally used name of the mutation is known.,,,
alteration,FUS-KLF17,,The words by which the generally used name of the mutation is known.,,,
alteration,GAB1 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,GATA1 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,GLI2 Amplification,,The words by which the generally used name of the mutation is known.,,,
alteration,HRAS mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,iAMP21,,The words by which the generally used name of the mutation is known.,,,
alteration,IGF1R mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,inv(16),,The words by which the generally used name of the mutation is known.,,,
alteration,inv(16)(p13.3q24.3)/CBFA2T3-GLIS2,,The words by which the generally used name of the mutation is known.,,,
alteration,inv(16)(p13q22),,The words by which the generally used name of the mutation is known.,,,
alteration,inv(3)(q21;q21.2),,The words by which the generally used name of the mutation is known.,,,
alteration,inv(X)(p11.4;p11.22),,The words by which the generally used name of the mutation is known.,,,
alteration,KIT Exon 8 Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,KIT Exon 17 Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,K-RAS mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,KRAS Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,Loss of Chromosome 11q (Deletion),,The words by which the generally used name of the mutation is known.,,,
alteration,Loss of Chromosome 1p (Deletion),,The words by which the generally used name of the mutation is known.,,,
alteration,Loss of chromosome Y (LOY),,The words by which the generally used name of the mutation is known.,,,
alteration,MDM2 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,MLL Other partner,,The words by which the generally used name of the mutation is known.,,,
alteration,Monosomy 5,,The words by which the generally used name of the mutation is known.,,,
alteration,Monosomy 7,,The words by which the generally used name of the mutation is known.,,,
alteration,Monosomy X,,The words by which the generally used name of the mutation is known.,,,
alteration,MTOR mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,MYC Amplification,,The words by which the generally used name of the mutation is known.,,,
alteration,MYCN Amplification,,The words by which the generally used name of the mutation is known.,,,
alteration,MYCN mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,MYOD1 Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,N-RAS mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,NF1 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,Non-KMT2A MLLT10,,The words by which the generally used name of the mutation is known.,,,
alteration,NPM1 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,NRAS mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,NTRK Rearranged,,The words by which the generally used name of the mutation is known.,,,
alteration,Not Reported,,The words by which the generally used name of the mutation is known.,,,
alteration,Other,,The words by which the generally used name of the mutation is known.,,,
alteration,p.F1174L,,The words by which the generally used name of the mutation is known.,,,
alteration,PDGFRA Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,PIK3CA Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,PKN1 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,PTCH1 Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,PTPN11 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,ROBO1 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,ROS1 rearranged,,The words by which the generally used name of the mutation is known.,,,
alteration,RUNX1 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,SMARCA4 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,SMARCB1 deleted/mutated,,The words by which the generally used name of the mutation is known.,,,
alteration,SMO Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,SOS1 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,SOS2 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,STAG2,,The words by which the generally used name of the mutation is known.,,,
alteration,SUFU Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,t(10;11)(p11.2;q23),,The words by which the generally used name of the mutation is known.,,,
alteration,t(10;11)(p12;q23) / MLL-MLLT10(AF10),,The words by which the generally used name of the mutation is known.,,,
alteration,t(10;19)(q26;q13),,The words by which the generally used name of the mutation is known.,,,
alteration,t(11;15)(p15;q35)/NUP98/JARID1A,,The words by which the generally used name of the mutation is known.,,,
alteration,t(11;16)(q13; p11),,The words by which the generally used name of the mutation is known.,,,
alteration,t(11;17)(AF17),,The words by which the generally used name of the mutation is known.,,,
alteration,t(11;19)(q13;q13.4),,The words by which the generally used name of the mutation is known.,,,
alteration,t(11;19)(q23;p13) (MLL-ENL)/(MLL-ELL),,The words by which the generally used name of the mutation is known.,,,
alteration,t(11;19)(q23;p13.1) (MLL-ELL),,The words by which the generally used name of the mutation is known.,,,
alteration,t(11;19)(q23;p13.3) (MLL-ENL),,The words by which the generally used name of the mutation is known.,,,
alteration,t(11;22)(p13;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(11;22)(q24;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,"t(11;22), NOS",,The words by which the generally used name of the mutation is known.,,,
alteration,t(12;15)(p13;q25),,The words by which the generally used name of the mutation is known.,,,
alteration,t(12;16)(q13;p11),,The words by which the generally used name of the mutation is known.,,,
alteration,t(12;22)(q13.12;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(12;22)(q13.3;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(12;22)(q13;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(12;22;20)(q13;q12;q11),,The words by which the generally used name of the mutation is known.,,,
alteration,t(15;17)(q24;q21),,The words by which the generally used name of the mutation is known.,,,
alteration,t(16;16)(p13.1;q22),,The words by which the generally used name of the mutation is known.,,,
alteration,t(16;21)(p11;q22),,The words by which the generally used name of the mutation is known.,,,
alteration,t(16;21)(p11;q22)FUS/ERG,,The words by which the generally used name of the mutation is known.,,,
alteration,t(16;21)(q24;q22)RUNX1-CBFA2T3,,The words by which the generally used name of the mutation is known.,,,
alteration,t(17;22)(q21;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(17;22)(q22;q13),,The words by which the generally used name of the mutation is known.,,,
alteration,t(19;22)(q13;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(1;10)(p22-31; q24-25),,The words by which the generally used name of the mutation is known.,,,
alteration,t(1;11)(q21;q23) / MLL-MLLT11(AF1Q),,The words by which the generally used name of the mutation is known.,,,
alteration,t(1;16)(p34;p11),,The words by which the generally used name of the mutation is known.,,,
alteration,t(1;22)(p34;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(1;22)(q23;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(1;22)(RBM15-MKL1),,The words by which the generally used name of the mutation is known.,,,
alteration,t(21;22)(q22;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(2;12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(2;16)(q35;p11),,The words by which the generally used name of the mutation is known.,,,
alteration,t(2;22)(q33.3;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(2;22)(q33;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(2;22)(q34;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(3;12)(q23;p12.3)(ETV6/EVI1),,The words by which the generally used name of the mutation is known.,,,
alteration,"t(3;3)(q21;q26.2), RPN1-EVI1",,The words by which the generally used name of the mutation is known.,,,
alteration,t(3;5)(p25;q34)NPM1/MLF1,,The words by which the generally used name of the mutation is known.,,,
alteration,t(4;11)(q21;q23) / MLL-MLLT2(AF4),,The words by which the generally used name of the mutation is known.,,,
alteration,t(4;19)(q25;q13),,The words by which the generally used name of the mutation is known.,,,
alteration,t(4;19)(q35;q13),,The words by which the generally used name of the mutation is known.,,,
alteration,t(5;11)(q35;p15) NSD1/NUP98,,The words by which the generally used name of the mutation is known.,,,
alteration,t(5;18)(q35;q11),,The words by which the generally used name of the mutation is known.,,,
alteration,t(6;11)(q27;q23) / MLL-MLLT4(AF6),,The words by which the generally used name of the mutation is known.,,,
alteration,t(6;22)(p21;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(6;9),,The words by which the generally used name of the mutation is known.,,,
alteration,t(6;9)(p23;q34) DEK/NUP214,,The words by which the generally used name of the mutation is known.,,,
alteration,t(7;12)(q36;p13) HLXB9(MNX1)/ETV6(TEL),,The words by which the generally used name of the mutation is known.,,,
alteration,t(7;16)(q33;p11),,The words by which the generally used name of the mutation is known.,,,
alteration,t(7;22)(p22;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(8;14)(q24;q32) or other variant of B-ALL,,The words by which the generally used name of the mutation is known.,,,
alteration,t(8;16)MOZ/CBP,,The words by which the generally used name of the mutation is known.,,,
alteration,t(8;21),,The words by which the generally used name of the mutation is known.,,,
alteration,t(8;8)(q21;q13),,The words by which the generally used name of the mutation is known.,,,
alteration,t(9;11)(p22;q23) / MLL-MLLT3(AF9),,The words by which the generally used name of the mutation is known.,,,
alteration,t(9;15)(q22;q21),,The words by which the generally used name of the mutation is known.,,,
alteration,t(9;17)(q22;q11),,The words by which the generally used name of the mutation is known.,,,
alteration,t(9;17)(q22;q11.2),,The words by which the generally used name of the mutation is known.,,,
alteration,t(9;22)(q22-23;q11-12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(9;22)(q22;q12),,The words by which the generally used name of the mutation is known.,,,
alteration,t(X;17)(p11.2;q25),,The words by which the generally used name of the mutation is known.,,,
alteration,t(X;18)(p11.21;q11),,The words by which the generally used name of the mutation is known.,,,
alteration,t(X;18)(p11.23;q11),,The words by which the generally used name of the mutation is known.,,,
alteration,t(X;20)(p11.2;q13.3),,The words by which the generally used name of the mutation is known.,,,
alteration,t(X;22((p11;q13),,The words by which the generally used name of the mutation is known.,,,
alteration,t(X;4)(p11;q31),,The words by which the generally used name of the mutation is known.,,,
alteration,TAF15-NR4A3,,The words by which the generally used name of the mutation is known.,,,
alteration,TCF3-PBX1 Fusion,,The words by which the generally used name of the mutation is known.,,,
alteration,TLS/FEV,,The words by which the generally used name of the mutation is known.,,,
alteration,TP53,,The words by which the generally used name of the mutation is known.,,,
alteration,TP53 Mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,Trisomy 10,,The words by which the generally used name of the mutation is known.,,,
alteration,Trisomy 17,,The words by which the generally used name of the mutation is known.,,,
alteration,Trisomy 21,,The words by which the generally used name of the mutation is known.,,,
alteration,Trisomy 4,,The words by which the generally used name of the mutation is known.,,,
alteration,Trisomy 8,,The words by which the generally used name of the mutation is known.,,,
alteration,Unknown,,The words by which the generally used name of the mutation is known.,,,
alteration,WT1 mutation,,The words by which the generally used name of the mutation is known.,,,
alteration,X Chromosome Inversion,,The words by which the generally used name of the mutation is known.,,,
alteration,ZC3H7B-BCOR,,The words by which the generally used name of the mutation is known.,,,
alteration_type,Chromosomal Gain,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Chromosomal Loss,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Chromothripsis,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Deletion,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Duplication,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Internal Tandem Duplication,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Inversion,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Isochromosome,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,"Mutation, NOS",,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Other,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Rearrangement,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Substitution,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Translocation,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Insertion,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_type,Unknown,,"The type of gain, loss or alteration of the sequences comprising a gene.",,,
alteration_effect,Amplification,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,Frameshift,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,Gene Fusion,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,Missense,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,Monosomy,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,None (inframe),,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,Nullisomy,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,Splice Acceptor,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,Splice Donor,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,Start Lost,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,Stop Gained,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,Stop Lost,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,Synonymous,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
alteration_effect,Trisomy,,"The type of effect of a sequence change on the function of an RNA, DNA, or protein.",,,
