prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
diagnosis,B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1),B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1),"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1),B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1),"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1,B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged,B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"B lymphoblastic leukemia/lymphoma, BCR-ABL1-like","B lymphoblastic leukemia/lymphoma, BCR-ABL1-like","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"B lymphoblastic leukemia/lymphoma, NOS","B lymphoblastic leukemia/lymphoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"B-Cell Acute Lymphoblastic Leukemia, NOS","B-Cell Acute Lymphoblastic Leukemia, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Basal cell adenocarcinoma,Basal cell adenocarcinoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Basal cell carcinoma, NOS","Basal cell carcinoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Benign cystic nephroma,Benign cystic nephroma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Blue nevus, malignant","Blue nevus, malignant","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Burkitt Lymphoma,Burkitt Lymphoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Burkitt lymphoma, NOS","Burkitt lymphoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Calcifying nested stromal-epithelial tumor,Calcifying nested stromal-epithelial tumor,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Carcinoid tumor of uncertain malignant potential,Carcinoid tumor of uncertain malignant potential,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Carcinoma ex pleomorphic adenoma,Carcinoma ex pleomorphic adenoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Carcinoma in situ, NOS","Carcinoma in situ, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Carcinoma, diffuse type","Carcinoma, diffuse type","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Carcinoma, metastatic, NOS","Carcinoma, metastatic, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Carcinoma, NOS","Carcinoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Carcinoma, undifferentiated, NOS","Carcinoma, undifferentiated, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Carcinomatosis,Carcinomatosis,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Carotid body paraganglioma,Carotid body paraganglioma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Cavernous hemangioma,Cavernous hemangioma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Central neurocytoma,Central neurocytoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Central osteosarcoma, NOS","Central osteosarcoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Central primitive neuroectodermal tumor,Central primitive neuroectodermal tumor,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Cerebellar liponeurocytoma,Cerebellar liponeurocytoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Cholangiocarcinoma,Cholangiocarcinoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Chondroblastic osteosarcoma,Chondroblastic osteosarcoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Chondroid chordoma,Chondroid chordoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Chondromyxoid fibroma,Chondromyxoid fibroma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Chondrosarcoma,Chondrosarcoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Chondrosarcoma, NOS","Chondrosarcoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Chordoid glioma,Chordoid glioma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Chordoma,Chordoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Chordoma (including poorly differentiated chordoma),Chordoma (including poorly differentiated chordoma),"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Chordoma, NOS","Chordoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Choriocarcinoma,Choriocarcinoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Choriocarcinoma combined with other germ cell elements,Choriocarcinoma combined with other germ cell elements,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Choriocarcinoma, NOS","Choriocarcinoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Choroid plexus carcinoma,Choroid plexus carcinoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Choroid plexus papilloma,Choroid plexus papilloma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Choroid plexus papilloma, NOS","Choroid plexus papilloma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Choroid Plexus tumors,Choroid Plexus tumors,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Choroid plexus tumors, NOS or NEC","Choroid plexus tumors, NOS or NEC","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Chronic eosinophilic leukemia,Chronic eosinophilic leukemia,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Chronic myelogenous leukemia, BCR/ABL positive","Chronic myelogenous leukemia, BCR/ABL positive","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Chronic myeloid leukemia, NOS","Chronic myeloid leukemia, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,CIC-rearranged sarcoma,CIC-rearranged sarcoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Clear cell adenoma,Clear cell adenoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Clear cell adenocarcinoma, NOS","Clear cell adenocarcinoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Clear cell meningioma,Clear cell meningioma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Clear cell sarcoma of kidney,Clear cell sarcoma of kidney,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Clear cell sarcoma, NOS","Clear cell sarcoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,CNS embryonal tumor,CNS embryonal tumor,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,CNS embryonal tumor with rhabdoid features,CNS embryonal tumor with rhabdoid features,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"CNS embryonal tumor, NOS","CNS embryonal tumor, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"CNS embryonal tumor, NOS or NEC","CNS embryonal tumor, NOS or NEC","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,CNS Germ Cell Tumors,CNS Germ Cell Tumors,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"CNS Germ Cell Tumors, NOS or NEC","CNS Germ Cell Tumors, NOS or NEC","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,CNS Germinoma,CNS Germinoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"CNS neuroblastoma, FOXR2-activated","CNS neuroblastoma, FOXR2-activated","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,CNS Non-Germinomatous Germ Cell Tumor,CNS Non-Germinomatous Germ Cell Tumor,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,CNS Sarcoma,CNS Sarcoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"CNS Sarcoma, NOS or NEC","CNS Sarcoma, NOS or NEC","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
